<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
MMYT,D,20120102,24.04,24.04,24.04,24.04,0
MNDO,D,20120102,1.85,1.85,1.85,1.85,0
MNKD,D,20120102,12.5,12.5,12.5,12.5,0
MNOV,D,20120102,1.7,1.7,1.7,1.7,0
MNRO,D,20120102,38.79,38.79,38.79,38.79,0
MNST,D,20120102,15.3567,15.3567,15.3567,15.3567,0
MNTA,D,20120102,17.39,17.39,17.39,17.39,0
MNTX,D,20120102,4.24,4.24,4.24,4.24,0
MOFG,D,20120102,14.62,14.62,14.62,14.62,0
MORN,D,20120102,59.45,59.45,59.45,59.45,0
MOSY,D,20120102,42,42,42,42,0
MPAA,D,20120102,7.5,7.5,7.5,7.5,0
MPAC,D,20120102,6.67,6.67,6.67,6.67,0
MPB,D,20120102,7.54,7.54,7.54,7.54,0
MPWR,D,20120102,15.07,15.07,15.07,15.07,0
MRCY,D,20120102,13.29,13.29,13.29,13.29,0
MRLN,D,20120102,12.7,12.7,12.7,12.7,0
MRTN,D,20120102,11.9933,11.9933,11.9933,11.9933,0
MRVL,D,20120102,13.85,13.85,13.85,13.85,0
MSBF,D,20120102,4.39,4.39,4.39,4.39,0
MSCC,D,20120102,16.75,16.75,16.75,16.75,0
MSEX,D,20120102,18.66,18.66,18.66,18.66,0
MSFG,D,20120102,8.83,8.83,8.83,8.83,0
MSFT,D,20120102,25.96,25.96,25.96,25.96,0
MSON,D,20120102,2.04,2.04,2.04,2.04,0
MSTR,D,20120102,108.32,108.32,108.32,108.32,0
MTEX,D,20120102,4.4,4.4,4.4,4.4,0
MTGE,D,20120102,18.82,18.82,18.82,18.82,0
MTRX,D,20120102,9.44,9.44,9.44,9.44,0
MTSC,D,20120102,40.75,40.75,40.75,40.75,0
MTSL,D,20120102,1.36,1.36,1.36,1.36,0
MU,D,20120102,6.29,6.29,6.29,6.29,0
MVIS,D,20120102,2.88,2.88,2.88,2.88,0
MXIM,D,20120102,26.04,26.04,26.04,26.04,0
MXWL,D,20120102,16.24,16.24,16.24,16.24,0
MYGN,D,20120102,20.94,20.94,20.94,20.94,0
MYL,D,20120102,21.46,21.46,21.46,21.46,0
MYRG,D,20120102,19.14,19.14,19.14,19.14,0
NAII,D,20120102,8.84,8.84,8.84,8.84,0
NANO,D,20120102,18.42,18.42,18.42,18.42,0
NATH,D,20120102,21.02,21.02,21.02,21.02,0
NATI,D,20120102,25.95,25.95,25.95,25.95,0
NATR,D,20120102,15.52,15.52,15.52,15.52,0
NAUH,D,20120102,7.58,7.58,7.58,7.58,0
NAVG,D,20120102,23.84,23.84,23.84,23.84,0
NBIX,D,20120102,8.5,8.5,8.5,8.5,0
NBN,D,20120102,12.6,12.6,12.6,12.6,0
NBTB,D,20120102,22.13,22.13,22.13,22.13,0
NCIT,D,20120102,11.65,11.65,11.65,11.65,0
NCMI,D,20120102,12.4,12.4,12.4,12.4,0
NCTY,D,20120102,7.12,7.12,7.12,7.12,0
NDAQ,D,20120102,24.51,24.51,24.51,24.51,0
NDSN,D,20120102,41.18,41.18,41.18,41.18,0
NEOG,D,20120102,20.4267,20.4267,20.4267,20.4267,0
NEPT,D,20120102,2.92,2.92,2.92,2.92,0
NEWS,D,20120102,10.17,10.17,10.17,10.17,0
NEWT,D,20120102,5.75,5.75,5.75,5.75,0
NFBK,D,20120102,14.16,14.16,14.16,14.16,0
NFEC,D,20120102,0.67,0.67,0.67,0.67,0
NFLX,D,20120102,9.8986,9.8986,9.8986,9.8986,0
NICE,D,20120102,34.45,34.45,34.45,34.45,0
NICK,D,20120102,12.82,12.82,12.82,12.82,0
NIHD,D,20120102,21.3,21.3,21.3,21.3,0
NKSH,D,20120102,27.92,27.92,27.92,27.92,0
NKTR,D,20120102,5.59,5.59,5.59,5.59,0
NLNK,D,20120102,7.04,7.04,7.04,7.04,0
NLST,D,20120102,2.51,2.51,2.51,2.51,0
NMRX,D,20120102,8.23,8.23,8.23,8.23,0
NNBR,D,20120102,6,6,6,6,0
NRIM,D,20120102,17.51,17.51,17.51,17.51,0
NSEC,D,20120102,8.75,8.75,8.75,8.75,0
NSIT,D,20120102,15.29,15.29,15.29,15.29,0
NSSC,D,20120102,2.48,2.48,2.48,2.48,0
NSYS,D,20120102,3.14,3.14,3.14,3.14,0
NTAP,D,20120102,36.27,36.27,36.27,36.27,0
NTCT,D,20120102,17.6,17.6,17.6,17.6,0
NTES,D,20120102,44.85,44.85,44.85,44.85,0
NTGR,D,20120102,33.57,33.57,33.57,33.57,0
NTIC,D,20120102,13.65,13.65,13.65,13.65,0
NTRI,D,20120102,12.93,12.93,12.93,12.93,0
NTRS,D,20120102,39.66,39.66,39.66,39.66,0
NTWK,D,20120102,4.2,4.2,4.2,4.2,0
NUAN,D,20120102,25.16,25.16,25.16,25.16,0
NURO,D,20120102,240,240,240,240,0
NUTR,D,20120102,11.32,11.32,11.32,11.32,0
NUVA,D,20120102,12.59,12.59,12.59,12.59,0
NVAX,D,20120102,1.26,1.26,1.26,1.26,0
NVDA,D,20120102,13.86,13.86,13.86,13.86,0
NVEC,D,20120102,55.53,55.53,55.53,55.53,0
NVMI,D,20120102,7.37,7.37,7.37,7.37,0
NWBI,D,20120102,12.44,12.44,12.44,12.44,0
NWFL,D,20120102,27.47,27.47,27.47,27.47,0
NWLI,D,20120102,136.16,136.16,136.16,136.16,0
NWPX,D,20120102,22.86,22.86,22.86,22.86,0
NWS,D,20120102,18.18,18.18,18.18,18.18,0
NWSA,D,20120102,17.84,17.84,17.84,17.84,0
NXPI,D,20120102,15.37,15.37,15.37,15.37,0
NXST,D,20120102,7.84,7.84,7.84,7.84,0
NXTM,D,20120102,17.78,17.78,17.78,17.78,0
NYMT,D,20120102,7.21,7.21,7.21,7.21,0
NYMX,D,20120102,8.22,8.22,8.22,8.22,0
OBAS,D,20120102,5.25,5.25,5.25,5.25,0
OBCI,D,20120102,2.15,2.15,2.15,2.15,0
OCC,D,20120102,3.19,3.19,3.19,3.19,0
OCFC,D,20120102,13.07,13.07,13.07,13.07,0
OCLR,D,20120102,2.82,2.82,2.82,2.82,0
ODFL,D,20120102,27.02,27.02,27.02,27.02,0
OFED,D,20120102,12,12,12,12,0
OFIX,D,20120102,35.23,35.23,35.23,35.23,0
OFLX,D,20120102,14.13,14.13,14.13,14.13,0
OGXI,D,20120102,11.74,11.74,11.74,11.74,0
OIIM,D,20120102,3.99,3.99,3.99,3.99,0
OKSB,D,20120102,5.96,5.96,5.96,5.96,0
OLBK,D,20120102,8.1,8.1,8.1,8.1,0
OMAB,D,20120102,12.53,12.53,12.53,12.53,0
OMCL,D,20120102,16.52,16.52,16.52,16.52,0
OMER,D,20120102,3.95,3.95,3.95,3.95,0
OMEX,D,20120102,32.88,32.88,32.88,32.88,0
ONEQ,D,20120102,103.02,103.02,103.02,103.02,0
ONVI,D,20120102,2.86,2.86,2.86,2.86,0
OPHC,D,20120102,20,20,20,20,0
OPOF,D,20120102,10.07,10.07,10.07,10.07,0
OPTT,D,20120102,26.7,26.7,26.7,26.7,0
OPXA,D,20120102,3.72,3.72,3.72,3.72,0
OPXAW,D,20120102,0.17,0.17,0.17,0.17,0
ORBC,D,20120102,2.99,2.99,2.99,2.99,0
ORBK,D,20120102,9.98,9.98,9.98,9.98,0
OREX,D,20120102,16.1,16.1,16.1,16.1,0
ORIG,D,20120102,12.2,12.2,12.2,12.2,0
ORIT,D,20120102,12.77,12.77,12.77,12.77,0
ORLY,D,20120102,79.95,79.95,79.95,79.95,0
ORRF,D,20120102,8.25,8.25,8.25,8.25,0
OSBC,D,20120102,1.3,1.3,1.3,1.3,0
OSBCP,D,20120102,4.04,4.04,4.04,4.04,0
OSIS,D,20120102,48.78,48.78,48.78,48.78,0
OSN,D,20120102,2.46,2.46,2.46,2.46,0
OSTK,D,20120102,7.84,7.84,7.84,7.84,0
OSUR,D,20120102,9.11,9.11,9.11,9.11,0
OTEX,D,20120102,12.785,12.785,12.785,12.785,0
OTIV,D,20120102,1.17,1.17,1.17,1.17,0
OTTR,D,20120102,22.02,22.02,22.02,22.02,0
OVBC,D,20120102,18.5,18.5,18.5,18.5,0
OVLY,D,20120102,6.75,6.75,6.75,6.75,0
OXLC,D,20120102,13.32,13.32,13.32,13.32,0
OZRK,D,20120102,14.815,14.815,14.815,14.815,0
PAAS,D,20120102,21.81,21.81,21.81,21.81,0
PACB,D,20120102,2.8,2.8,2.8,2.8,0
PACW,D,20120102,18.95,18.95,18.95,18.95,0
PAGG,D,20120102,26.88,26.88,26.88,26.88,0
PANL,D,20120102,36.69,36.69,36.69,36.69,0
PATK,D,20120102,2.7333,2.7333,2.7333,2.7333,0
PAYX,D,20120102,30.11,30.11,30.11,30.11,0
PBCT,D,20120102,12.85,12.85,12.85,12.85,0
PBHC,D,20120102,8.91,8.91,8.91,8.91,0
PBIB,D,20120102,2.9,2.9,2.9,2.9,0
PBIP,D,20120102,5.18,5.18,5.18,5.18,0
PBSK,D,20120102,10.92,10.92,10.92,10.92,0
PCAR,D,20120102,37.47,37.47,37.47,37.47,0
PCBK,D,20120102,8.85,8.85,8.85,8.85,0
PCH,D,20120102,31.11,31.11,31.11,31.11,0
PCLN,D,20120102,467.71,467.71,467.71,467.71,0
PCO,D,20120102,2.56,2.56,2.56,2.56,0
PCOM,D,20120102,7.95,7.95,7.95,7.95,0
PCRX,D,20120102,8.65,8.65,8.65,8.65,0
PCTI,D,20120102,6.84,6.84,6.84,6.84,0
PCYO,D,20120102,1.88,1.88,1.88,1.88,0
PDCO,D,20120102,29.52,29.52,29.52,29.52,0
PDEX,D,20120102,2.46,2.46,2.46,2.46,0
PDFS,D,20120102,6.97,6.97,6.97,6.97,0
PDLI,D,20120102,6.2,6.2,6.2,6.2,0
PEBK,D,20120102,5.49,5.49,5.49,5.49,0
PEBO,D,20120102,14.81,14.81,14.81,14.81,0
PEGA,D,20120102,14.7,14.7,14.7,14.7,0
PEIX,D,20120102,15.9,15.9,15.9,15.9,0
PENN,D,20120102,38.07,38.07,38.07,38.07,0
PERF,D,20120102,10.4,10.4,10.4,10.4,0
PERI,D,20120102,3.95,3.95,3.95,3.95,0
PERY,D,20120102,14.22,14.22,14.22,14.22,0
PESI,D,20120102,7.75,7.75,7.75,7.75,0
PETS,D,20120102,10.38,10.38,10.38,10.38,0
PFBC,D,20120102,7.45,7.45,7.45,7.45,0
PFBI,D,20120102,4.4,4.4,4.4,4.4,0
PFBX,D,20120102,10.31,10.31,10.31,10.31,0
PFIN,D,20120102,3.46,3.46,3.46,3.46,0
PFLT,D,20120102,10.3,10.3,10.3,10.3,0
PFSW,D,20120102,3.29,3.29,3.29,3.29,0
PGC,D,20120102,10.75,10.75,10.75,10.75,0
PGNX,D,20120102,8.54,8.54,8.54,8.54,0
PHII,D,20120102,23.32,23.32,23.32,23.32,0
PHIIK,D,20120102,24.85,24.85,24.85,24.85,0
PICO,D,20120102,20.58,20.58,20.58,20.58,0
PKBK,D,20120102,5.46,5.46,5.46,5.46,0
PKOH,D,20120102,17.84,17.84,17.84,17.84,0
PLAB,D,20120102,6.08,6.08,6.08,6.08,0
PLBC,D,20120102,2.38,2.38,2.38,2.38,0
PLCE,D,20120102,53.12,53.12,53.12,53.12,0
PLPC,D,20120102,59.66,59.66,59.66,59.66,0
PLUG,D,20120102,2.04,2.04,2.04,2.04,0
PLUS,D,20120102,14.14,14.14,14.14,14.14,0
PLXS,D,20120102,27.38,27.38,27.38,27.38,0
PMBC,D,20120102,3.26,3.26,3.26,3.26,0
PMD,D,20120102,9.1,9.1,9.1,9.1,0
PNBK,D,20120102,17.5,17.5,17.5,17.5,0
PNFP,D,20120102,16.15,16.15,16.15,16.15,0
PNNT,D,20120102,10.09,10.09,10.09,10.09,0
PNQI,D,20120102,34.53,34.53,34.53,34.53,0
PNRG,D,20120102,22.59,22.59,22.59,22.59,0
PNTR,D,20120102,3.41,3.41,3.41,3.41,0
PODD,D,20120102,18.83,18.83,18.83,18.83,0
POOL,D,20120102,30.1,30.1,30.1,30.1,0
POPE,D,20120102,42.99,42.99,42.99,42.99,0
POWI,D,20120102,33.16,33.16,33.16,33.16,0
POWL,D,20120102,31.28,31.28,31.28,31.28,0
PPBI,D,20120102,6.34,6.34,6.34,6.34,0
PPHM,D,20120102,1.03,1.03,1.03,1.03,0
PRAA,D,20120102,22.5067,22.5067,22.5067,22.5067,0
PRAN,D,20120102,8.82,8.82,8.82,8.82,0
PRCP,D,20120102,4.76,4.76,4.76,4.76,0
PRFT,D,20120102,10.01,10.01,10.01,10.01,0
PRFZ,D,20120102,60,60,60,60,0
PRGS,D,20120102,19.35,19.35,19.35,19.35,0
PRGX,D,20120102,5.95,5.95,5.95,5.95,0
PRIM,D,20120102,14.93,14.93,14.93,14.93,0
PRKR,D,20120102,8.6,8.6,8.6,8.6,0
PRMW,D,20120102,3.04,3.04,3.04,3.04,0
PROV,D,20120102,9.32,9.32,9.32,9.32,0
PRPH,D,20120102,1.15,1.15,1.15,1.15,0
PRSC,D,20120102,13.76,13.76,13.76,13.76,0
PRTS,D,20120102,4.37,4.37,4.37,4.37,0
PRXL,D,20120102,20.74,20.74,20.74,20.74,0
PSAU,D,20120102,39.81,39.81,39.81,39.81,0
PSCC,D,20120102,31.45,31.45,31.45,31.45,0
PSCD,D,20120102,27.1,27.1,27.1,27.1,0
PSCE,D,20120102,34.3,34.3,34.3,34.3,0
PSCF,D,20120102,27.04,27.04,27.04,27.04,0
PSCH,D,20120102,31.53,31.53,31.53,31.53,0
PSCI,D,20120102,27.38,27.38,27.38,27.38,0
PSCM,D,20120102,25.84,25.84,25.84,25.84,0
PSCT,D,20120102,28.03,28.03,28.03,28.03,0
PSCU,D,20120102,30.75,30.75,30.75,30.75,0
PSDV,D,20120102,1.11,1.11,1.11,1.11,0
PSEC,D,20120102,9.29,9.29,9.29,9.29,0
PSMT,D,20120102,69.59,69.59,69.59,69.59,0
PSTB,D,20120102,4.08,4.08,4.08,4.08,0
PSTI,D,20120102,2.49,2.49,2.49,2.49,0
PTEN,D,20120102,19.98,19.98,19.98,19.98,0
PTIE,D,20120102,26.6,26.6,26.6,26.6,0
PTNR,D,20120102,8.84,8.84,8.84,8.84,0
PTSI,D,20120102,9.5,9.5,9.5,9.5,0
PWOD,D,20120102,38.78,38.78,38.78,38.78,0
PXLW,D,20120102,2.42,2.42,2.42,2.42,0
PZZA,D,20120102,18.84,18.84,18.84,18.84,0
QABA,D,20120102,22.96,22.96,22.96,22.96,0
QADA,D,20120102,10.5,10.5,10.5,10.5,0
QADB,D,20120102,10.3,10.3,10.3,10.3,0
QBAK,D,20120102,11.4,11.4,11.4,11.4,0
QCLN,D,20120102,9.59,9.59,9.59,9.59,0
QCOM,D,20120102,54.7,54.7,54.7,54.7,0
QCRH,D,20120102,9.1,9.1,9.1,9.1,0
QDEL,D,20120102,15.13,15.13,15.13,15.13,0
QGEN,D,20120102,13.81,13.81,13.81,13.81,0
QNST,D,20120102,9.36,9.36,9.36,9.36,0
QQEW,D,20120102,22.95,22.95,22.95,22.95,0
QQQ,D,20120102,55.83,55.83,55.83,55.83,0
QQQC,D,20120102,13.25,13.25,13.25,13.25,0
QQQX,D,20120102,13.03,13.03,13.03,13.03,0
QQXT,D,20120102,20.78,20.78,20.78,20.78,0
QSII,D,20120102,36.99,36.99,36.99,36.99,0
QTEC,D,20120102,24.12,24.12,24.12,24.12,0
QUIK,D,20120102,2.6,2.6,2.6,2.6,0
RADA,D,20120102,3.84,3.84,3.84,3.84,0
RAIL,D,20120102,20.95,20.95,20.95,20.95,0
RAND,D,20120102,3.1,3.1,3.1,3.1,0
RAVN,D,20120102,30.95,30.95,30.95,30.95,0
RBCAA,D,20120102,22.9,22.9,22.9,22.9,0
RBCN,D,20120102,93.9,93.9,93.9,93.9,0
RBPAA,D,20120102,1.25,1.25,1.25,1.25,0
RCII,D,20120102,37,37,37,37,0
RCKY,D,20120102,9.02,9.02,9.02,9.02,0
RCMT,D,20120102,5.18,5.18,5.18,5.18,0
RCON,D,20120102,0.3,0.3,0.3,0.3,0
RDCM,D,20120102,4.05,4.05,4.05,4.05,0
RDI,D,20120102,4.24,4.24,4.24,4.24,0
RDNT,D,20120102,2.13,2.13,2.13,2.13,0
RDWR,D,20120102,14.625,14.625,14.625,14.625,0
RECN,D,20120102,10.59,10.59,10.59,10.59,0
REFR,D,20120102,3.39,3.39,3.39,3.39,0
REGN,D,20120102,55.43,55.43,55.43,55.43,0
REIS,D,20120102,9.12,9.12,9.12,9.12,0
RELL,D,20120102,12.29,12.29,12.29,12.29,0
RELV,D,20120102,8.61,8.61,8.61,8.61,0
REXX,D,20120102,147.6,147.6,147.6,147.6,0
RFIL,D,20120102,3.75,3.75,3.75,3.75,0
RGCO,D,20120102,11.8333,11.8333,11.8333,11.8333,0
RGEN,D,20120102,3.47,3.47,3.47,3.47,0
RGLD,D,20120102,67.43,67.43,67.43,67.43,0
RICK,D,20120102,8.46,8.46,8.46,8.46,0
RIGL,D,20120102,7.89,7.89,7.89,7.89,0
RLOG,D,20120102,6.51,6.51,6.51,6.51,0
RMBS,D,20120102,7.55,7.55,7.55,7.55,0
RMCF,D,20120102,8.54,8.54,8.54,8.54,0
RMTI,D,20120102,8.47,8.47,8.47,8.47,0
RNET,D,20120102,16.74,16.74,16.74,16.74,0
RNST,D,20120102,15,15,15,15,0
RNWK,D,20120102,7.5,7.5,7.5,7.5,0
ROCK,D,20120102,13.96,13.96,13.96,13.96,0
ROIC,D,20120102,11.84,11.84,11.84,11.84,0
ROLL,D,20120102,41.7,41.7,41.7,41.7,0
ROSE,D,20120102,43.5,43.5,43.5,43.5,0
ROSG,D,20120102,2.7,2.7,2.7,2.7,0
ROST,D,20120102,23.765,23.765,23.765,23.765,0
RP,D,20120102,25.27,25.27,25.27,25.27,0
RPRX,D,20120102,4.82,4.82,4.82,4.82,0
RPXC,D,20120102,12.65,12.65,12.65,12.65,0
RRGB,D,20120102,27.7,27.7,27.7,27.7,0
RSYS,D,20120102,5.06,5.06,5.06,5.06,0
RTIX,D,20120102,4.44,4.44,4.44,4.44,0
RUSHA,D,20120102,20.92,20.92,20.92,20.92,0
RUSHB,D,20120102,17,17,17,17,0
RUTH,D,20120102,4.97,4.97,4.97,4.97,0
RVSB,D,20120102,2.37,2.37,2.37,2.37,0
RYAAY,D,20120102,27.86,27.86,27.86,27.86,0
SAFM,D,20120102,50.13,50.13,50.13,50.13,0
SAFT,D,20120102,40.48,40.48,40.48,40.48,0
SAIA,D,20120102,8.32,8.32,8.32,8.32,0
SALM,D,20120102,2.57,2.57,2.57,2.57,0
SANM,D,20120102,9.31,9.31,9.31,9.31,0
SANW,D,20120102,4.41,4.41,4.41,4.41,0
SASR,D,20120102,17.55,17.55,17.55,17.55,0
SATS,D,20120102,20.94,20.94,20.94,20.94,0
SAVE,D,20120102,15.6,15.6,15.6,15.6,0
SBAC,D,20120102,42.96,42.96,42.96,42.96,0
SBBX,D,20120102,4.32,4.32,4.32,4.32,0
SBCF,D,20120102,7.6,7.6,7.6,7.6,0
SBGI,D,20120102,11.33,11.33,11.33,11.33,0
SBLK,D,20120102,66.75,66.75,66.75,66.75,0
SBNY,D,20120102,59.99,59.99,59.99,59.99,0
SBRA,D,20120102,12.09,12.09,12.09,12.09,0
SBSI,D,20120102,20.6286,20.6286,20.6286,20.6286,0
SBUX,D,20120102,23.005,23.005,23.005,23.005,0
SCHL,D,20120102,29.97,29.97,29.97,29.97,0
SCHN,D,20120102,42.28,42.28,42.28,42.28,0
SCKT,D,20120102,1.87,1.87,1.87,1.87,0
SCLN,D,20120102,4.29,4.29,4.29,4.29,0
SCMP,D,20120102,4.43,4.43,4.43,4.43,0
SCON,D,20120102,221.4,221.4,221.4,221.4,0
SCSC,D,20120102,36,36,36,36,0
SCSS,D,20120102,21.69,21.69,21.69,21.69,0
SCVL,D,20120102,17.1333,17.1333,17.1333,17.1333,0
SEAC,D,20120102,7.03,7.03,7.03,7.03,0
SEED,D,20120102,2.36,2.36,2.36,2.36,0
SEIC,D,20120102,17.35,17.35,17.35,17.35,0
SENEA,D,20120102,25.82,25.82,25.82,25.82,0
SENEB,D,20120102,26.04,26.04,26.04,26.04,0
SEV,D,20120102,4.68,4.68,4.68,4.68,0
SFLY,D,20120102,22.76,22.76,22.76,22.76,0
SFNC,D,20120102,27.19,27.19,27.19,27.19,0
SFST,D,20120102,7.15,7.15,7.15,7.15,0
SGC,D,20120102,12.27,12.27,12.27,12.27,0
SGEN,D,20120102,16.72,16.72,16.72,16.72,0
SGMA,D,20120102,3.3,3.3,3.3,3.3,0
SGMO,D,20120102,2.84,2.84,2.84,2.84,0
SGMS,D,20120102,9.7,9.7,9.7,9.7,0
SGOC,D,20120102,5.2,5.2,5.2,5.2,0
SGRP,D,20120102,1,1,1,1,0
SHBI,D,20120102,5.15,5.15,5.15,5.15,0
SHEN,D,20120102,5.24,5.24,5.24,5.24,0
SHIP,D,20120102,10.8,10.8,10.8,10.8,0
SHLD,D,20120102,31.78,31.78,31.78,31.78,0
SHLM,D,20120102,21.18,21.18,21.18,21.18,0
SHLO,D,20120102,8.38,8.38,8.38,8.38,0
SHOO,D,20120102,23,23,23,23,0
SHOR,D,20120102,6.38,6.38,6.38,6.38,0
SIEB,D,20120102,1.43,1.43,1.43,1.43,0
SIFI,D,20120102,9.85,9.85,9.85,9.85,0
SIFY,D,20120102,4.02,4.02,4.02,4.02,0
SIGI,D,20120102,17.73,17.73,17.73,17.73,0
SIGM,D,20120102,6,6,6,6,0
SILC,D,20120102,17.54,17.54,17.54,17.54,0
SIMO,D,20120102,20.48,20.48,20.48,20.48,0
SINA,D,20120102,52,52,52,52,0
SINO,D,20120102,2.2,2.2,2.2,2.2,0
SIRI,D,20120102,1.82,1.82,1.82,1.82,0
SIVB,D,20120102,47.69,47.69,47.69,47.69,0
SIVBO,D,20120102,24.99,24.99,24.99,24.99,0
SKYW,D,20120102,12.59,12.59,12.59,12.59,0
SKYY,D,20120102,17.2,17.2,17.2,17.2,0
SLAB,D,20120102,43.42,43.42,43.42,43.42,0
SLGN,D,20120102,19.32,19.32,19.32,19.32,0
SLM,D,20120102,4.7857,4.7857,4.7857,4.7857,0
SLMBP,D,20120102,39,39,39,39,0
SLP,D,20120102,2.99,2.99,2.99,2.99,0
SLRC,D,20120102,22.09,22.09,22.09,22.09,0
SMBC,D,20120102,11.235,11.235,11.235,11.235,0
SMCI,D,20120102,15.68,15.68,15.68,15.68,0
SMED,D,20120102,4.11,4.11,4.11,4.11,0
SMIT,D,20120102,3.2,3.2,3.2,3.2,0
SMMF,D,20120102,2.73,2.73,2.73,2.73,0
SMRT,D,20120102,6.81,6.81,6.81,6.81,0
SMSI,D,20120102,4.52,4.52,4.52,4.52,0
SMTC,D,20120102,24.82,24.82,24.82,24.82,0
SMTX,D,20120102,2.82,2.82,2.82,2.82,0
SNAK,D,20120102,3.74,3.74,3.74,3.74,0
SNBC,D,20120102,12.1,12.1,12.1,12.1,0
SNCR,D,20120102,30.21,30.21,30.21,30.21,0
SNFCA,D,20120102,1.63,1.63,1.63,1.63,0
SNHY,D,20120102,23.43,23.43,23.43,23.43,0
SNMX,D,20120102,3.48,3.48,3.48,3.48,0
SNPS,D,20120102,27.2,27.2,27.2,27.2,0
SNSS,D,20120102,7.02,7.02,7.02,7.02,0
SOCL,D,20120102,13.1,13.1,13.1,13.1,0
SODA,D,20120102,32.69,32.69,32.69,32.69,0
SOFO,D,20120102,7.55,7.55,7.55,7.55,0
SOHU,D,20120102,50,50,50,50,0
SONA,D,20120102,6.1,6.1,6.1,6.1,0
SONC,D,20120102,6.73,6.73,6.73,6.73,0
SONS,D,20120102,12,12,12,12,0
SORL,D,20120102,2.35,2.35,2.35,2.35,0
SOXX,D,20120102,49.4,49.4,49.4,49.4,0
SPAR,D,20120102,4.81,4.81,4.81,4.81,0
SPEX,D,20120102,444.6,444.6,444.6,444.6,0
SPIL,D,20120102,4.36,4.36,4.36,4.36,0
SPLS,D,20120102,13.89,13.89,13.89,13.89,0
SPNC,D,20120102,7.22,7.22,7.22,7.22,0
SPNS,D,20120102,3.76,3.76,3.76,3.76,0
SPPI,D,20120102,14.63,14.63,14.63,14.63,0
SPRT,D,20120102,2.25,2.25,2.25,2.25,0
SPSC,D,20120102,25.95,25.95,25.95,25.95,0
SPTN,D,20120102,18.5,18.5,18.5,18.5,0
SPWR,D,20120102,6.23,6.23,6.23,6.23,0
SQQQ,D,20120102,1260.16,1260.16,1260.16,1260.16,0
SRCE,D,20120102,25.33,25.33,25.33,25.33,0
SRCL,D,20120102,77.92,77.92,77.92,77.92,0
SRDX,D,20120102,14.66,14.66,14.66,14.66,0
SREV,D,20120102,15.69,15.69,15.69,15.69,0
SSBI,D,20120102,5.2,5.2,5.2,5.2,0
SSFN,D,20120102,5.3,5.3,5.3,5.3,0
SSNC,D,20120102,18.06,18.06,18.06,18.06,0
SSRI,D,20120102,13.82,13.82,13.82,13.82,0
SSYS,D,20120102,30.41,30.41,30.41,30.41,0
STAA,D,20120102,10.49,10.49,10.49,10.49,0
STB,D,20120102,6.53,6.53,6.53,6.53,0
STBA,D,20120102,19.55,19.55,19.55,19.55,0
STBZ,D,20120102,15.11,15.11,15.11,15.11,0
STFC,D,20120102,13.59,13.59,13.59,13.59,0
STKL,D,20120102,4.82,4.82,4.82,4.82,0
STLD,D,20120102,13.15,13.15,13.15,13.15,0
STLY,D,20120102,2.99,2.99,2.99,2.99,0
STMP,D,20120102,26.13,26.13,26.13,26.13,0
STPP,D,20120102,40.21,40.21,40.21,40.21,0
STRA,D,20120102,97.19,97.19,97.19,97.19,0
STRL,D,20120102,10.77,10.77,10.77,10.77,0
STRM,D,20120102,1.72,1.72,1.72,1.72,0
STRS,D,20120102,7.81,7.81,7.81,7.81,0
STRT,D,20120102,19.95,19.95,19.95,19.95,0
STX,D,20120102,16.4,16.4,16.4,16.4,0
SUMR,D,20120102,7.04,7.04,7.04,7.04,0
SUNS,D,20120102,15.75,15.75,15.75,15.75,0
SVA,D,20120102,2.2,2.2,2.2,2.2,0
SVBI,D,20120102,2.46,2.46,2.46,2.46,0
SVVC,D,20120102,14.33,14.33,14.33,14.33,0
SWIR,D,20120102,7.01,7.01,7.01,7.01,0
SWKS,D,20120102,16.22,16.22,16.22,16.22,0
SYBT,D,20120102,13.6867,13.6867,13.6867,13.6867,0
SYKE,D,20120102,15.66,15.66,15.66,15.66,0
SYMC,D,20120102,15.65,15.65,15.65,15.65,0
SYMX,D,20120102,1.55,1.55,1.55,1.55,0
SYNA,D,20120102,30.15,30.15,30.15,30.15,0
SYNL,D,20120102,10.27,10.27,10.27,10.27,0
SYNT,D,20120102,23.385,23.385,23.385,23.385,0
SYPR,D,20120102,3.92,3.92,3.92,3.92,0
TACT,D,20120102,7.26,7.26,7.26,7.26,0
TAIT,D,20120102,1.14,1.14,1.14,1.14,0
TAST,D,20120102,11.57,11.57,11.57,11.57,0
TATT,D,20120102,4.02,4.02,4.02,4.02,0
TAYD,D,20120102,7.72,7.72,7.72,7.72,0
TBBK,D,20120102,7.23,7.23,7.23,7.23,0
TBNK,D,20120102,19.75,19.75,19.75,19.75,0
TCBI,D,20120102,30.61,30.61,30.61,30.61,0
TCBK,D,20120102,14.22,14.22,14.22,14.22,0
TCCO,D,20120102,7.7,7.7,7.7,7.7,0
TCRD,D,20120102,12.21,12.21,12.21,12.21,0
TCX,D,20120102,3,3,3,3,0
TEAR,D,20120102,11.2,11.2,11.2,11.2,0
TECD,D,20120102,49.41,49.41,49.41,49.41,0
TECH,D,20120102,68.26,68.26,68.26,68.26,0
TESO,D,20120102,12.64,12.64,12.64,12.64,0
TESS,D,20120102,13.82,13.82,13.82,13.82,0
