<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
BONT,D,20120102,3.37,3.37,3.37,3.37,0
BOOM,D,20120102,19.78,19.78,19.78,19.78,0
BOSC,D,20120102,4,4,4,4,0
BPFH,D,20120102,7.94,7.94,7.94,7.94,0
BPFHW,D,20120102,3.2,3.2,3.2,3.2,0
BPOP,D,20120102,13.9,13.9,13.9,13.9,0
BPOPM,D,20120102,16.5,16.5,16.5,16.5,0
BPOPN,D,20120102,17.32,17.32,17.32,17.32,0
BRCD,D,20120102,5.19,5.19,5.19,5.19,0
BRID,D,20120102,9.6,9.6,9.6,9.6,0
BRKL,D,20120102,8.44,8.44,8.44,8.44,0
BRKR,D,20120102,12.42,12.42,12.42,12.42,0
BRKS,D,20120102,10.27,10.27,10.27,10.27,0
BSET,D,20120102,7.49,7.49,7.49,7.49,0
BSFT,D,20120102,30.2,30.2,30.2,30.2,0
BSPM,D,20120102,13.02,13.02,13.02,13.02,0
BSQR,D,20120102,3.42,3.42,3.42,3.42,0
BSRR,D,20120102,8.8,8.8,8.8,8.8,0
BSTC,D,20120102,16.62,16.62,16.62,16.62,0
BUR,D,20120102,6.99,6.99,6.99,6.99,0
BUSE,D,20120102,5,5,5,5,0
BVSN,D,20120102,10.94,10.94,10.94,10.94,0
BWEN,D,20120102,6.8,6.8,6.8,6.8,0
BWINA,D,20120102,22.15,22.15,22.15,22.15,0
BWINB,D,20120102,21.8,21.8,21.8,21.8,0
BWLD,D,20120102,67.51,67.51,67.51,67.51,0
BYFC,D,20120102,1.56,1.56,1.56,1.56,0
CA,D,20120102,20.22,20.22,20.22,20.22,0
CAAS,D,20120102,3.3,3.3,3.3,3.3,0
CAC,D,20120102,32.6,32.6,32.6,32.6,0
CACC,D,20120102,82.28,82.28,82.28,82.28,0
CADC,D,20120102,28.56,28.56,28.56,28.56,0
CAKE,D,20120102,29.35,29.35,29.35,29.35,0
CALD,D,20120102,6.42,6.42,6.42,6.42,0
CALI,D,20120102,4.98,4.98,4.98,4.98,0
CALL,D,20120102,13.66,13.66,13.66,13.66,0
CALM,D,20120102,18.285,18.285,18.285,18.285,0
CAMP,D,20120102,4.24,4.24,4.24,4.24,0
CAMT,D,20120102,1.75,1.75,1.75,1.75,0
CAR,D,20120102,10.72,10.72,10.72,10.72,0
CARB,D,20120102,11.1,11.1,11.1,11.1,0
CART,D,20120102,2.33,2.33,2.33,2.33,0
CARV,D,20120102,8.29,8.29,8.29,8.29,0
CARZ,D,20120102,22.84,22.84,22.84,22.84,0
CASH,D,20120102,16.65,16.65,16.65,16.65,0
CASM,D,20120102,1.75,1.75,1.75,1.75,0
CASS,D,20120102,36.39,36.39,36.39,36.39,0
CASY,D,20120102,51.51,51.51,51.51,51.51,0
CATM,D,20120102,27.06,27.06,27.06,27.06,0
CATY,D,20120102,14.93,14.93,14.93,14.93,0
CAVM,D,20120102,28.43,28.43,28.43,28.43,0
CBAK,D,20120102,3.15,3.15,3.15,3.15,0
CBAN,D,20120102,2.24,2.24,2.24,2.24,0
CBLI,D,20120102,57.2,57.2,57.2,57.2,0
CBMX,D,20120102,300,300,300,300,0
CBMXW,D,20120102,1.4,1.4,1.4,1.4,0
CBOE,D,20120102,25.86,25.86,25.86,25.86,0
CBPO,D,20120102,10.46,10.46,10.46,10.46,0
CBRL,D,20120102,50.41,50.41,50.41,50.41,0
CBSH,D,20120102,38.12,38.12,38.12,38.12,0
CCBG,D,20120102,9.55,9.55,9.55,9.55,0
CCCL,D,20120102,23.12,23.12,23.12,23.12,0
CCIH,D,20120102,4.01,4.01,4.01,4.01,0
CCMP,D,20120102,47.25,47.25,47.25,47.25,0
CCNE,D,20120102,15.78,15.78,15.78,15.78,0
CCOI,D,20120102,16.89,16.89,16.89,16.89,0
CCRN,D,20120102,5.55,5.55,5.55,5.55,0
CCUR,D,20120102,3.79,3.79,3.79,3.79,0
CDNS,D,20120102,10.4,10.4,10.4,10.4,0
CDTI,D,20120102,14,14,14,14,0
CDXS,D,20120102,5.3,5.3,5.3,5.3,0
CDZI,D,20120102,9.63,9.63,9.63,9.63,0
CECE,D,20120102,5.55,5.55,5.55,5.55,0
CECO,D,20120102,7.97,7.97,7.97,7.97,0
CELG,D,20120102,33.8,33.8,33.8,33.8,0
CELGZ,D,20120102,1.4,1.4,1.4,1.4,0
CENT,D,20120102,8.16,8.16,8.16,8.16,0
CENTA,D,20120102,8.32,8.32,8.32,8.32,0
CENX,D,20120102,8.51,8.51,8.51,8.51,0
CERN,D,20120102,30.625,30.625,30.625,30.625,0
CERS,D,20120102,2.8,2.8,2.8,2.8,0
CETV,D,20120102,6.52,6.52,6.52,6.52,0
CEVA,D,20120102,30.26,30.26,30.26,30.26,0
CFBK,D,20120102,3.1,3.1,3.1,3.1,0
CFFI,D,20120102,26.6,26.6,26.6,26.6,0
CFFN,D,20120102,11.54,11.54,11.54,11.54,0
CFNB,D,20120102,16.08,16.08,16.08,16.08,0
CGEN,D,20120102,4.95,4.95,4.95,4.95,0
CGNX,D,20120102,17.895,17.895,17.895,17.895,0
CHCI,D,20120102,1.1,1.1,1.1,1.1,0
CHCO,D,20120102,33.89,33.89,33.89,33.89,0
CHDN,D,20120102,52.13,52.13,52.13,52.13,0
CHEF,D,20120102,17.86,17.86,17.86,17.86,0
CHFC,D,20120102,21.32,21.32,21.32,21.32,0
CHFN,D,20120102,9.26,9.26,9.26,9.26,0
CHKE,D,20120102,11.67,11.67,11.67,11.67,0
CHKP,D,20120102,52.54,52.54,52.54,52.54,0
CHNR,D,20120102,6.8,6.8,6.8,6.8,0
CHRS,D,20120102,4.9,4.9,4.9,4.9,0
CHRW,D,20120102,69.78,69.78,69.78,69.78,0
CHSCP,D,20120102,29.5,29.5,29.5,29.5,0
CHTR,D,20120102,56.94,56.94,56.94,56.94,0
CIDM,D,20120102,13.7,13.7,13.7,13.7,0
CINF,D,20120102,30.46,30.46,30.46,30.46,0
CIZN,D,20120102,17.52,17.52,17.52,17.52,0
CJJD,D,20120102,1.14,1.14,1.14,1.14,0
CLCT,D,20120102,14.57,14.57,14.57,14.57,0
CLDX,D,20120102,2.6,2.6,2.6,2.6,0
CLFD,D,20120102,7.61,7.61,7.61,7.61,0
CLMT,D,20120102,20.16,20.16,20.16,20.16,0
CLNE,D,20120102,12.46,12.46,12.46,12.46,0
CLNT,D,20120102,3.2,3.2,3.2,3.2,0
CLRO,D,20120102,4.32,4.32,4.32,4.32,0
CLSN,D,20120102,1.7,1.7,1.7,1.7,0
CLUB,D,20120102,7.35,7.35,7.35,7.35,0
CLVS,D,20120102,14.09,14.09,14.09,14.09,0
CLWT,D,20120102,2.53,2.53,2.53,2.53,0
CMCO,D,20120102,12.69,12.69,12.69,12.69,0
CMCSA,D,20120102,11.855,11.855,11.855,11.855,0
CME,D,20120102,48.734,48.734,48.734,48.734,0
CMLS,D,20120102,26.72,26.72,26.72,26.72,0
CMTL,D,20120102,28.62,28.62,28.62,28.62,0
CNBKA,D,20120102,28.24,28.24,28.24,28.24,0
CNET,D,20120102,1.1,1.1,1.1,1.1,0
CNIT,D,20120102,0.63,0.63,0.63,0.63,0
CNMD,D,20120102,25.67,25.67,25.67,25.67,0
CNOB,D,20120102,9.77,9.77,9.77,9.77,0
CNSL,D,20120102,19.05,19.05,19.05,19.05,0
CNTF,D,20120102,9,9,9,9,0
CNTY,D,20120102,2.53,2.53,2.53,2.53,0
COBZ,D,20120102,5.77,5.77,5.77,5.77,0
COHR,D,20120102,52.27,52.27,52.27,52.27,0
COHU,D,20120102,11.35,11.35,11.35,11.35,0
COKE,D,20120102,58.55,58.55,58.55,58.55,0
COLB,D,20120102,19.27,19.27,19.27,19.27,0
COLM,D,20120102,23.275,23.275,23.275,23.275,0
CONN,D,20120102,11.1,11.1,11.1,11.1,0
COOL,D,20120102,102.48,102.48,102.48,102.48,0
CORE,D,20120102,9.9,9.9,9.9,9.9,0
CORT,D,20120102,3.42,3.42,3.42,3.42,0
COST,D,20120102,83.32,83.32,83.32,83.32,0
COWN,D,20120102,2.59,2.59,2.59,2.59,0
CPHC,D,20120102,13.26,13.26,13.26,13.26,0
CPIX,D,20120102,5.38,5.38,5.38,5.38,0
CPLA,D,20120102,36.05,36.05,36.05,36.05,0
CPLP,D,20120102,6.13,6.13,6.13,6.13,0
CPRT,D,20120102,11.9725,11.9725,11.9725,11.9725,0
CPRX,D,20120102,1.29,1.29,1.29,1.29,0
CPSI,D,20120102,51.11,51.11,51.11,51.11,0
CPSS,D,20120102,0.89,0.89,0.89,0.89,0
CPST,D,20120102,23.2,23.2,23.2,23.2,0
CRAI,D,20120102,19.84,19.84,19.84,19.84,0
CRAY,D,20120102,6.47,6.47,6.47,6.47,0
CRDS,D,20120102,107,107,107,107,0
CRED,D,20120102,10.2,10.2,10.2,10.2,0
CREE,D,20120102,22.04,22.04,22.04,22.04,0
CREG,D,20120102,12,12,12,12,0
CRESY,D,20120102,11.39,11.39,11.39,11.39,0
CRIS,D,20120102,4.68,4.68,4.68,4.68,0
CRME,D,20120102,13.15,13.15,13.15,13.15,0
CRMT,D,20120102,39.18,39.18,39.18,39.18,0
CRNT,D,20120102,7.7,7.7,7.7,7.7,0
CROX,D,20120102,14.77,14.77,14.77,14.77,0
CRUS,D,20120102,15.85,15.85,15.85,15.85,0
CRVL,D,20120102,25.855,25.855,25.855,25.855,0
CRWS,D,20120102,3.29,3.29,3.29,3.29,0
CRZO,D,20120102,26.35,26.35,26.35,26.35,0
CSBK,D,20120102,9.28,9.28,9.28,9.28,0
CSCO,D,20120102,18.08,18.08,18.08,18.08,0
CSFL,D,20120102,6.62,6.62,6.62,6.62,0
CSGP,D,20120102,66.73,66.73,66.73,66.73,0
CSGS,D,20120102,14.71,14.71,14.71,14.71,0
CSII,D,20120102,9.85,9.85,9.85,9.85,0
CSIQ,D,20120102,2.66,2.66,2.66,2.66,0
